證券代碼,Y,ROA 稅前息前折舊前,ROA 稅後息前,ROA 稅後息前折舊前,ROE 稅後,ROE 常續利益,已實現銷貨毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支 / 營收,常續利益率 稅後,營業費用率,現金流量比率,有息負債利率,稅率,每股淨值,常續性 EPS,每股現金流量,每股營業額,每股營業利益,每股稅前淨利,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性固定資產成長率,總資產報酬成長率,流動比率,速動比率,利息支出率,總負債 / 總淨值,負債比率,淨值 / 資產,長期資金適合率,借款依存度,或有負債 / 淨值,營業利益 / 實收資本比,稅前純益 / 實收資本,存貨及應收帳款 / 淨值,應收帳款週轉次數,總資產週轉次數,固定資產週轉次數,淨值週轉率（次）,淨營業週期（日）
8044 網家,0,15.21,11.95,13.18,30.34,29.94,17.19,3.43,3.57,3.15,0.13,3.11,13.75,28.57,2.78,11.65,19,5.81,9.93,197.29,6.78,7.09,27.33,31.22,31.22,52.58,17.16,21.48,21.48,60.92,28.42,45.89,45.08,2.37,157.33,133.51,0.64,141.89,58.66,41.34,902.28,5.94,0,67.56,70.13,29.23,50.99,3.77,86.73,9.63,-26.46
8454 富邦媒,0,21.54,14.13,17.39,29.82,29.84,16.96,5.24,5.31,4.26,0.07,4.26,11.72,36.58,34.4,19.81,18.14,5.99,7.51,135.33,7.09,7.24,6.1,-13.66,-13.66,-34.8,-34.21,-35.64,-35.64,-35.6,1.49,-5.98,,-6.97,169.37,139.14,0.24,119.79,54.5,45.5,358.01,0.43,0,70.9,71.9,42.69,47.36,3.31,31.41,7,-25.77
5278 尚凡,1,72.21,57.03,59.89,109.62,109.62,90.02,38.73,38.97,32.32,0.24,32.32,51.29,142.43,5.37,17.06,30.16,19.34,43.46,59.83,23.17,46.79,138.87,143.64,143.64,208.88,206.19,216.62,216.62,216.62,105.4,489.64,-5.26,60.51,283.78,276.36,0.11,51.34,33.92,66.08,1925.57,0,0,231.72,233.13,40.82,4.68,1.76,37.16,3.39,-91.7
2314 台揚,0,-6.87,-11.46,-7.55,-33.85,-33.48,6.84,-13.9,-13.87,-13.62,0.03,-13.46,20.73,-5.74,2.17,0,7.94,-2.45,-0.79,18.21,-2.53,-3.45,13.22,76.55,76.55,32.55,45.81,42.08,42.08,42.3,-8.13,18.76,-13.95,8.9,132.15,70.88,-6.57,146.98,59.51,40.49,315.23,77.36,0,-25.3,-25.24,87.23,5.09,0.89,6.25,2.49,93.85
2332 友訊,0,5.1,3.27,3.77,5.77,5.16,26.78,2.1,3.4,2.5,1.3,2.23,24.68,12.04,3.48,26.54,21.52,1.12,1.74,52.05,1.1,1.74,-0.12,-15.86,-15.86,-23.42,-6.25,-16.97,-16.97,-34.78,-7.08,-5.3,-9.55,-0.61,191.54,110.97,4.51,81.71,44.97,55.03,1139,8.64,0,10.55,17.05,90.61,5.7,1.26,24.47,2.31,77.76
2419 仲琦,0,9.49,5.19,7.32,10.46,10.85,21.18,5,5.06,3.75,0.06,3.89,16.17,26.02,2.48,26.01,13.64,1.32,3.71,36.13,1.81,2.01,20.71,29.12,29.12,71.04,45.84,36.14,36.14,82.62,8.24,42.4,-8.66,1.41,172.81,124.53,7.88,90.7,47.56,52.44,378.12,25.56,0,16.92,17.13,82.06,4.32,1.29,8.4,2.79,50.8
2439 美律,0,8.87,6.47,6.81,10.86,6.6,18.98,5.65,7.65,6.23,1.99,3.78,13.33,21.45,1.98,18.61,26.86,1.77,3.11,46.37,2.62,3.35,-1.95,21.29,21.29,85.64,62.49,59.88,59.88,225.29,-6.56,2.58,4.8,2.16,179.04,119.37,2.12,63.13,38.7,61.3,226.17,7.16,0,26.22,35.47,72.01,3.74,1.02,3.99,1.74,56.86
2450 神腦,0,19.39,14.97,16.23,28.19,28.19,14.66,4.42,5.09,4.27,0.67,4.27,10.21,30.17,0,16.23,21.15,5.8,6.01,136.08,6.02,6.94,27.12,12.34,12.34,2.93,7.28,7.95,7.95,8.28,14.84,5.54,115.42,1.43,170.47,114.93,0,96.05,48.99,51.01,436.56,0,0,60.16,69.28,92.88,14,3.51,37.14,6.61,27.15
2485 兆赫,0,9.89,5.49,8.25,7.16,8.34,18.15,8.04,7.55,6.15,-0.49,7.17,10.11,49.81,3.02,18.59,20.71,1.87,2.4,24.71,1.99,1.87,-26.32,-20.12,-20.12,-14.74,-45.84,-44.94,-44.94,-35.86,-12.27,-3.47,-16.1,-4.22,414.14,345.4,1.51,25.51,20.32,79.68,466.37,3.23,0,19.88,18.66,36.29,4.8,0.88,5.19,1.16,83.54
2498 宏達電,0,10.99,7.61,9.86,19.29,20.9,25.23,6.51,6.73,6.1,0.22,6.6,18.72,18.69,0,9.44,96.57,21.99,28.36,347.7,22.65,23.39,-37.95,-44.66,-44.66,-72.63,-72.76,-71.71,-71.71,-69.24,-18.98,-21.62,32.21,-16.79,107.81,79.75,0.01,158.18,61.27,38.73,308.85,0,0,220.96,228.37,81.05,5.45,1.25,12.17,3.16,-17.41
3062 建漢,0,2.4,0.75,1.31,1.16,0.86,6.38,0.24,1.4,0.62,1.17,0.46,6.14,-2.98,1.6,55.99,15.31,0.14,-0.22,29.85,0.07,0.42,-29.13,-60.52,-60.52,-96.98,-83.31,-90.84,-90.84,-93.18,-17.44,-7.35,-2.79,-6.75,214.32,153.43,2.71,48.29,32.56,67.44,1423.05,0,0,0.71,4.19,60.26,4.54,1.19,27.35,1.88,46.45
